ID,Tool,Mapping,Library,Runtime,Commit1,Filename,Path,CWE-ID,NumWar,Marking,Warning1,Warning2,Warning3,Warning4,Warning5
386,tidy,diff,tensorflow,0.861862421,https://github.com/tensorflow/tensorflow/commit/867227c1317d05ab1b6e5c2341212ed5741da049,concat_lib_gpu.cu.cc,tensorflow/core/kernels/concat_lib_gpu.cu.cc,CWE-190,2,full_match,/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/sparse_to_dense_op.cc:53:47: note: the last parameter in the range is 'default_value'\n const Tensor& default_value) {\n ^~~~~~~~~~~~~,,,,
387,tidy,diff,tensorflow,0.5536823273,https://github.com/tensorflow/tensorflow/commit/6047c6977dbc30f018b8b3ea0486ca907901dabb,png_io.cc,tensorflow/core/lib/png/png_io.cc,CWE-190,2,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/lib/png/png_io.cc:49:43: warning: 2 adjacent parameters of 'Convert8to16' of similar type ('int') are easily swapped by mistake [bugprone-easily-swappable-parameters]\nstatic void Convert8to16(const uint8* p8, int num_comps, int p8_row_bytes,\n ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/lib/png/png_io.cc:49:47: note: the first parameter in the range is 'num_comps'\nstatic void Convert8to16(const uint8* p8, int num_comps, int p8_row_bytes,\n ^~~~~~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/lib/png/png_io.cc:49:62: note: the last parameter in the range is 'p8_row_bytes'\nstatic void Convert8to16(const uint8* p8, int num_comps, int p8_row_bytes,\n ^~~~~~~~~~~~",,
387,tidy,diff,tensorflow,0.5536823273,https://github.com/tensorflow/tensorflow/commit/6047c6977dbc30f018b8b3ea0486ca907901dabb,png_io.cc,tensorflow/core/lib/png/png_io.cc,CWE-190,2,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/lib/png/png_io.cc:50:26: warning: 2 adjacent parameters of 'Convert8to16' of similar type ('int') are easily swapped by mistake [bugprone-easily-swappable-parameters]\n int width, int height_in, uint16* p16,\n ^~~~~~~~~~~~~~~~~~~~~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/lib/png/png_io.cc:50:30: note: the first parameter in the range is 'width'\n int width, int height_in, uint16* p16,\n ^~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/lib/png/png_io.cc:50:41: note: the last parameter in the range is 'height_in'\n int width, int height_in, uint16* p16,\n ^~~~~~~~~",,
389,tidy,diff,tensorflow,0.8206493855,https://github.com/tensorflow/tensorflow/commit/8fce27bc797582c573c232b9b9328cef4c642048,reshape_op.h,tensorflow/core/kernels/reshape_op.h,CWE-190,1,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/sparse_to_dense_op.cc:50:33: warning: 4 adjacent parameters of 'CheckSparseToDenseShapes' of similar type ('const int &') are easily swapped by mistake [bugprone-easily-swappable-parameters]\nStatus CheckSparseToDenseShapes(const Tensor& indices,\n ^~~~~~~~~~~~~~~~~~~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/sparse_to_dense_op.cc:50:47: note: the first parameter in the range is 'indices'\nStatus CheckSparseToDenseShapes(const Tensor& indices,\n ^~~~~~~",,,
396,tidy,diff,tensorflow,0.3296341896,https://github.com/tensorflow/tensorflow/commit/c231d2115d5536873fa1f3d93ecaf3b1701c158f,training_ops.cc,tensorflow/core/kernels/training_ops.cc,CWE-833,6,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:536:20: note: the last parameter in the range is 'l2_scalar'\n T l2_scalar, bool multiply_linear_by_lr, T lr_power_scalar,\n ^~~~~~~~~",,,,
396,tidy,diff,tensorflow,0.3296341896,https://github.com/tensorflow/tensorflow/commit/c231d2115d5536873fa1f3d93ecaf3b1701c158f,training_ops.cc,tensorflow/core/kernels/training_ops.cc,CWE-833,6,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:688:19: warning: 6 adjacent parameters of 'operator()' of similar type are easily swapped by mistake [bugprone-easily-swappable-parameters]\n void operator()(const CPUDevice& d, typename TTypes<T>::Flat var,\n ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:688:36: note: the first parameter in the range is 'd'\n void operator()(const CPUDevice& d, typename TTypes<T>::Flat var,\n ^","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:688:39: note: 'const int &' and 'int' parameters accept and bind the same kind of values\n void operator()(const CPUDevice& d, typename TTypes<T>::Flat var,\n ^",,
396,tidy,diff,tensorflow,0.3296341896,https://github.com/tensorflow/tensorflow/commit/c231d2115d5536873fa1f3d93ecaf3b1701c158f,training_ops.cc,tensorflow/core/kernels/training_ops.cc,CWE-833,6,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:692:51: note: the last parameter in the range is 'momentum'\n typename TTypes<T>::ConstScalar momentum, bool use_nesterov) {\n ^~~~~~~~",,,,
396,tidy,diff,tensorflow,0.3296341896,https://github.com/tensorflow/tensorflow/commit/c231d2115d5536873fa1f3d93ecaf3b1701c158f,training_ops.cc,tensorflow/core/kernels/training_ops.cc,CWE-833,6,full_match,/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:694:5: warning: if with identical then and else branches [bugprone-branch-clone]\n if (use_nesterov) {\n ^,,,,
396,tidy,diff,tensorflow,0.3296341896,https://github.com/tensorflow/tensorflow/commit/c231d2115d5536873fa1f3d93ecaf3b1701c158f,training_ops.cc,tensorflow/core/kernels/training_ops.cc,CWE-833,6,full_match,/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:696:7: note: else branch starts here\n } else {\n ^,,,,
396,tidy,diff,tensorflow,0.3296341896,https://github.com/tensorflow/tensorflow/commit/c231d2115d5536873fa1f3d93ecaf3b1701c158f,training_ops.cc,tensorflow/core/kernels/training_ops.cc,CWE-833,6,full_match,"/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:704:19: warning: 6 adjacent parameters of 'operator()' of similar type are easily swapped by mistake [bugprone-easily-swappable-parameters]\n void operator()(const CPUDevice& d, typename TTypes<T>::Flat var,\n ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:704:36: note: the first parameter in the range is 'd'\n void operator()(const CPUDevice& d, typename TTypes<T>::Flat var,\n ^","/media/nimashiri/DATA/vsprojects/ICSE23/ml_repos_cloned/tensorflow/tensorflow/core/kernels/training_ops.cc:704:39: note: 'const int &' and 'int' parameters accept and bind the same kind of values\n void operator()(const CPUDevice& d, typename TTypes<T>::Flat var,\n ^",,
