98,tidy,mxnet, note: the first parameter in the range is 'epsilon'
98,tidy,mxnet, note: the last parameter in the range is 'flags'
98,tidy,mxnet, note: 'float' and 'unsigned int' may be implicitly converted
99,tidy,mxnet, warning: 2 adjacent parameters of 'bnrm_desc_init' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters]
99,tidy,mxnet, note: the first parameter in the range is 'epsilon'
99,tidy,mxnet, note: the last parameter in the range is 'flags'
99,tidy,mxnet, note: 'float' and 'unsigned int' may be implicitly converted
99,tidy,mxnet, warning: 2 adjacent parameters of 'bnrm_desc_init' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters]
99,tidy,mxnet, note: the first parameter in the range is 'epsilon'
99,tidy,mxnet, note: the last parameter in the range is 'flags'
99,tidy,mxnet, note: 'float' and 'unsigned int' may be implicitly converted
100,tidy,mxnet, warning: 2 adjacent parameters of 'bnrm_desc_init' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters]
100,tidy,mxnet, note: the first parameter in the range is 'epsilon'
100,tidy,mxnet, note: the last parameter in the range is 'flags'
100,tidy,mxnet, note: 'float' and 'unsigned int' may be implicitly converted
100,tidy,mxnet, warning: 2 adjacent parameters of 'bnrm_desc_init' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters]
100,tidy,mxnet, note: the first parameter in the range is 'epsilon'
100,tidy,mxnet, note: the last parameter in the range is 'flags'
100,tidy,mxnet, note: 'float' and 'unsigned int' may be implicitly converted
119,tidy,mxnet, warning: 2 adjacent parameters of 'io_tail_conf_t' of similar type ('const std::size_t') are easily swapped by mistake [bugprone-easily-swappable-parameters]
119,tidy,mxnet, note: the first parameter in the range is 'simd_w'
119,tidy,mxnet, note: the last parameter in the range is 'tail_size'
119,tidy,mxnet, warning: 2 adjacent parameters of 'io_saturation_conf_t' of similar type ('const int') are easily swapped by mistake [bugprone-easily-swappable-parameters]
119,tidy,mxnet, note: the first parameter in the range is 'vreg_zero_saturation_idx'
119,tidy,mxnet, note: the last parameter in the range is 'vreg_saturation_ubound_idx'
119,tidy,mxnet, warning: 2 adjacent parameters of 'emu_gather' of similar type ('const Xbyak::Zmm &') are easily swapped by mistake [bugprone-easily-swappable-parameters]
119,tidy,mxnet, note: the first parameter in the range is 'indices_vmm'
119,tidy,mxnet, note: the last parameter in the range is 'dst_vmm'
119,tidy,mxnet, warning: narrowing conversion from 'typename remove_reference<unsigned long>::type' (aka 'unsigned long') to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
119,tidy,mxnet, warning: narrowing conversion from 'typename remove_reference<unsigned long>::type' (aka 'unsigned long') to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
119,tidy,mxnet, warning: narrowing conversion from 'unsigned long' to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
119,tidy,mxnet, warning: 2 adjacent parameters of 'emu_gather' of similar type ('const Xbyak::Ymm &') are easily swapped by mistake [bugprone-easily-swappable-parameters]
119,tidy,mxnet, note: the first parameter in the range is 'indices_vmm'
119,tidy,mxnet, note: the last parameter in the range is 'dst_vmm'
119,tidy,mxnet, warning: narrowing conversion from 'typename remove_reference<unsigned long>::type' (aka 'unsigned long') to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
119,tidy,mxnet, warning: narrowing conversion from 'typename remove_reference<unsigned long>::type' (aka 'unsigned long') to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
119,tidy,mxnet, warning: narrowing conversion from 'unsigned long' to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
119,tidy,mxnet, warning: 2 adjacent parameters of 'emu_gather' of similar type ('const Xbyak::Xmm &') are easily swapped by mistake [bugprone-easily-swappable-parameters]
119,tidy,mxnet, note: the first parameter in the range is 'indices_vmm'
119,tidy,mxnet, note: the last parameter in the range is 'dst_vmm'
119,tidy,mxnet, warning: narrowing conversion from 'unsigned int' to signed type 'int' is implementation-defined [bugprone-narrowing-conversions]
123,tidy,mxnet, warning: 2 adjacent parameters of 'bnrm_desc_init' of convertible types are easily swapped by mistake [bugprone-easily-swappable-parameters]
123,tidy,mxnet, note: the first parameter in the range is 'epsilon'
123,tidy,mxnet, note: the last parameter in the range is 'flags'
123,tidy,mxnet, note: 'float' and 'unsigned int' may be implicitly converted
130,tidy,pytorch," error: 2 adjacent parameters of 'xnn_create_argmax_pooling2d_nhwc_f32' of similar type ('uint32_t') are easily swapped by mistake [bugprone-easily-swappable-parameters,-warnings-as-errors]"
130,tidy,pytorch, note: the first parameter in the range is 'input_padding_left'
130,tidy,pytorch, note: the last parameter in the range is 'pooling_height'
